"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
NA,NA,NA,NA,NA,0,0,0,0.010989010989011,0,0,0
NA,NA,NA,NA,NA,0,0,0,0.010989010989011,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0.010989010989011,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0
